parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_moderate
371,"Location (35.0433, -85.2963)",15569.144624893748,66,7684,9,71,41.51,31.91,100.0,90.89,75.0,94.31,61.08,Excellent - High Frequency,High Reliability,70
352,"Location (35.0362, -85.3051)",16551.349007836325,82,7958,6,93,51.57,33.05,100.0,88.06,50.0,84.49,61.02,Excellent - High Frequency,High Reliability,71
222,32,15746.740184657952,58,7200,11,65,36.48,29.9,100.0,91.66,91.67,92.53,61.01,Excellent - High Frequency,High Reliability,72
255,"Location (35.0490, -85.2944)",15265.89405365675,51,7725,11,61,32.08,32.08,100.0,92.17,91.67,97.34,60.64,Excellent - High Frequency,High Reliability,73
433,"Location (35.0353, -85.3087)",16890.926791164453,73,7841,6,86,45.91,32.57,100.0,88.96,50.0,81.09,59.59,Excellent - High Frequency,High Reliability,74
108,"Location (35.0480, -85.2928)",15139.132416917933,47,7076,10,77,29.56,29.39,100.0,90.12,83.33,98.61,58.06,Excellent - High Frequency,High Reliability,75
395,"Location (35.0428, -85.2917)",15181.34014230995,52,6819,8,79,32.7,28.32,100.0,89.86,66.67,98.19,56.82,Excellent - High Frequency,High Reliability,76
368,"Location (35.0351, -85.3120)",17186.37617956679,59,6231,6,58,37.11,25.88,100.0,92.55,50.0,78.14,55.92,Excellent - High Frequency,High Reliability,77
457,"Location (35.0345, -85.3072)",16784.954608764467,60,6371,6,87,37.74,26.46,100.0,88.83,50.0,82.15,55.7,Excellent - High Frequency,High Reliability,78
369,"Location (35.0353, -85.3131)",17279.71598616369,57,6089,6,53,35.85,25.29,100.0,93.2,50.0,77.2,55.53,Excellent - High Frequency,High Reliability,79
165,"Location (35.0439, -85.2878)",14801.097784879394,42,6034,10,100,26.42,25.06,100.0,87.16,83.33,100.0,55.53,Excellent - High Frequency,High Reliability,80
291,"Location (35.0427, -85.2985)",15778.425307368572,63,6191,5,70,39.62,25.71,100.0,91.01,41.67,92.22,55.44,Excellent - High Frequency,High Reliability,81
197,"Location (35.0457, -85.2877)",14747.400344846877,39,5835,10,89,24.53,24.23,100.0,88.58,83.33,100.0,55.02,Excellent - High Frequency,High Reliability,82
377,"Location (35.0523, -85.2978)",15496.25578278456,42,5594,11,143,26.42,23.23,100.0,81.64,91.67,95.04,54.99,Excellent - High Frequency,High Reliability,83
351,"Location (35.0441, -85.2791)",14033.981735150313,45,3415,9,47,28.3,14.18,100.0,93.97,75.0,100.0,52.93,Excellent - High Frequency,High Reliability,84
446,"Location (35.0412, -85.2989)",15856.884935670714,55,5015,4,42,34.59,20.83,100.0,94.61,33.33,91.43,52.42,Excellent - High Frequency,High Reliability,85
149,"Location (35.0346, -85.2698)",13541.04134113435,74,4040,2,72,46.54,16.78,100.0,90.76,16.67,100.0,51.95,Excellent - High Frequency,High Reliability,86
136,"Location (35.0434, -85.2808)",14206.421505664664,39,3810,9,76,24.53,15.82,100.0,90.24,75.0,100.0,51.92,Excellent - High Frequency,High Reliability,87
73,"Location (35.0339, -85.2680)",13418.500163092833,72,3916,2,63,45.28,16.26,100.0,91.91,16.67,100.0,51.65,Excellent - High Frequency,High Reliability,88
239,"Location (35.0361, -85.2689)",13411.515262954665,77,4163,3,184,48.43,17.29,100.0,76.38,25.0,100.0,51.25,Excellent - High Frequency,High Reliability,89
119,"Location (35.0438, -85.2821)",14308.119153063293,38,3780,9,134,23.9,15.7,100.0,82.8,75.0,100.0,50.6,Excellent - High Frequency,High Reliability,90
52,"Location (35.0554, -85.3148)",16978.534638421217,45,6231,8,353,28.3,25.88,100.0,54.69,66.67,80.21,49.71,Excellent - High Frequency,High Reliability,91
271,"Location (35.0494, -85.2763)",13640.820116451456,33,1813,10,58,20.75,7.53,100.0,92.55,83.33,100.0,49.66,Excellent - High Frequency,High Reliability,92
220,"Location (35.0394, -85.2659)",13026.373818775985,68,2794,3,105,42.77,11.6,100.0,86.52,25.0,100.0,49.65,Excellent - High Frequency,High Reliability,93
60,"Location (35.0346, -85.2663)",13242.823789912638,70,3774,2,183,44.03,15.67,100.0,76.51,16.67,100.0,48.85,Excellent - High Frequency,High Reliability,94
254,"Location (35.0401, -85.2715)",13492.157510081626,59,2810,3,78,37.11,11.67,100.0,89.99,25.0,100.0,48.78,Excellent - High Frequency,High Reliability,95
339,"Location (35.0328, -85.3132)",17365.84540223165,48,3708,3,56,30.19,15.4,100.0,92.81,25.0,76.34,48.59,Excellent - High Frequency,High Reliability,96
458,"Location (35.0308, -85.2699)",13701.862328263749,52,3297,2,60,32.7,13.69,100.0,92.3,16.67,100.0,47.8,Excellent - High Frequency,High Reliability,97
370,"Location (35.0495, -85.2880)",14683.180453394674,29,4896,9,284,18.24,20.33,100.0,63.54,75.0,100.0,47.69,Excellent - High Frequency,High Reliability,98
247,"Location (35.0487, -85.2783)",13834.205633193116,25,1573,9,85,15.72,6.53,100.0,89.09,75.0,100.0,46.75,Excellent - High Frequency,High Reliability,99
270,"Location (35.0349, -85.3148)",17442.139198662375,45,3596,4,166,28.3,14.94,100.0,78.69,33.33,75.58,46.69,Excellent - High Frequency,High Reliability,100
175,"Location (35.0322, -85.2740)",13994.223044589175,45,3292,2,64,28.3,13.67,100.0,91.78,16.67,100.0,46.61,Excellent - High Frequency,High Reliability,101
103,"Location (35.0575, -85.2541)",11473.83984501075,45,1202,3,68,28.3,4.99,100.0,91.27,25.0,100.0,44.76,Excellent - High Frequency,High Reliability,102
265,"Location (35.0373, -85.2639)",12932.748172394337,58,2606,2,244,36.48,10.82,100.0,68.68,16.67,100.0,44.33,Excellent - High Frequency,High Reliability,103
207,"Location (35.0155, -85.3245)",18963.23319039226,35,2610,2,59,22.01,10.84,100.0,92.43,16.67,60.37,44.29,Excellent - High Frequency,High Reliability,104
131,"Location (35.0588, -85.2533)",11376.919740022213,45,1203,3,102,28.3,5.0,100.0,86.91,25.0,100.0,44.11,Excellent - High Frequency,High Reliability,105
282,"Location (35.0090, -85.3241)",19197.613515241574,38,2584,2,103,23.9,10.73,100.0,86.78,16.67,58.02,43.88,Excellent - High Frequency,High Reliability,106
263,"Location (35.0499, -85.2870)",14586.847695785582,23,4158,8,343,14.47,17.27,100.0,55.97,66.67,100.0,43.86,Excellent - High Frequency,High Reliability,107
135,"Location (35.0147, -85.3261)",19127.662927928555,36,2685,2,107,22.64,11.15,100.0,86.26,16.67,58.72,43.61,Excellent - High Frequency,High Reliability,108
326,"Location (35.0632, -85.3081)",16268.503177792434,31,1847,3,59,19.5,7.67,100.0,92.43,25.0,87.31,43.54,Excellent - High Frequency,High Reliability,109
357,"Location (35.0628, -85.3110)",16536.63823343563,32,1885,3,79,20.13,7.83,100.0,89.86,25.0,84.63,43.36,Excellent - High Frequency,High Reliability,110
426,"Location (35.0651, -85.3101)",16430.44332678596,34,1961,3,101,21.38,8.14,100.0,87.03,25.0,85.7,43.34,Excellent - High Frequency,High Reliability,111
447,"Location (35.0628, -85.3062)",16096.551647026326,29,1815,3,55,18.24,7.54,100.0,92.94,25.0,89.03,43.26,Excellent - High Frequency,High Reliability,112
169,"Location (35.0316, -85.3046)",16657.427646026077,46,3525,4,349,28.93,14.64,100.0,55.2,33.33,83.43,43.24,Excellent - High Frequency,High Reliability,113
117,"Location (35.0101, -85.3267)",19372.020127190815,34,2333,2,100,21.38,9.69,100.0,87.16,16.67,56.28,42.99,Excellent - High Frequency,High Reliability,114
110,"Location (35.0308, -85.3055)",16760.93912439189,44,3275,3,299,27.67,13.6,100.0,61.62,25.0,82.39,42.74,Excellent - High Frequency,High Reliability,115
388,"Location (35.0171, -85.3234)",18802.899318131505,29,2111,2,68,18.24,8.77,100.0,91.27,16.67,61.97,42.55,Excellent - High Frequency,High Reliability,116
355,"Location (35.0655, -85.3108)",16488.751324438508,33,1901,3,130,20.75,7.9,100.0,83.31,25.0,85.11,42.55,Excellent - High Frequency,High Reliability,117
380,"Location (35.0619, -85.3081)",16276.017601337511,27,1695,3,73,16.98,7.04,100.0,90.63,25.0,87.24,42.45,Excellent - High Frequency,High Reliability,118
253,"Location (35.0448, -85.3203)",17673.001017576327,22,2452,2,45,13.84,10.18,100.0,94.22,16.67,73.27,42.31,Excellent - High Frequency,High Reliability,119
152,"Location (35.0228, -85.2752)",14501.092639079932,37,2066,2,157,23.27,8.58,100.0,79.85,16.67,100.0,42.04,Excellent - High Frequency,High Reliability,120
65,"Location (35.0632, -85.3147)",16865.957170690413,28,1499,3,92,17.61,6.23,100.0,88.19,25.0,81.34,42.0,Excellent - High Frequency,High Reliability,121
412,"Location (35.0613, -85.3093)",16391.227491708563,31,2087,3,156,19.5,8.67,100.0,79.97,25.0,86.09,41.97,Excellent - High Frequency,High Reliability,122
