parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_conservative
338,"Location (35.0437, -85.3047)",16308.49029452376,64,8886,10,58,77.11,59.95,100.0,88.11,90.91,86.92,79.57,Excellent - High Frequency,High Reliability,23
267,"Location (35.0507, -85.3124)",16835.740108463662,58,9228,10,144,69.88,62.25,100.0,70.49,90.91,81.64,75.81,Excellent - High Frequency,High Reliability,24
298,"Location (35.0400, -85.3066)",16568.501956752803,61,8521,9,105,73.49,57.48,100.0,78.48,81.82,84.31,75.57,Excellent - High Frequency,High Reliability,25
451,"Location (35.0410, -85.3059)",16484.3024649258,60,8390,9,157,72.29,56.6,100.0,67.83,81.82,85.16,73.41,Excellent - High Frequency,High Reliability,26
448,"Location (35.0480, -85.3132)",16969.271018552554,50,10055,10,230,60.24,67.83,100.0,52.87,90.91,80.31,72.43,Excellent - High Frequency,High Reliability,27
211,"Location (35.0503, -85.3132)",16921.75745981278,54,8828,9,225,65.06,59.56,100.0,53.89,81.82,80.78,70.4,Excellent - High Frequency,High Reliability,28
242,"Location (35.0389, -85.3084)",16760.843058359744,56,7065,7,92,67.47,47.66,100.0,81.15,63.64,82.39,69.7,Excellent - High Frequency,High Reliability,29
283,"Location (35.0485, -85.3134)",16978.071487409667,50,9354,9,253,60.24,63.1,100.0,48.16,81.82,80.22,69.4,Excellent - High Frequency,High Reliability,30
308,"Location (35.0493, -85.3052)",16222.267759599044,52,6624,11,205,62.65,44.69,100.0,57.99,100.0,87.78,67.77,Excellent - High Frequency,High Reliability,31
157,"Location (35.0387, -85.3114)",17034.869119738145,50,6655,7,72,60.24,44.9,100.0,85.25,63.64,79.65,67.68,Excellent - High Frequency,High Reliability,32
406,"Location (35.0507, -85.3050)",16177.330964942808,50,5924,11,166,60.24,39.96,100.0,65.98,100.0,88.23,66.95,Excellent - High Frequency,High Reliability,33
